#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507359580;155,01;155,01;18,6;9;13728077;16/02/2024
507359522;155,82;155,82;18,7;7;13728077;16/02/2024
507359455;157,94;157,94;18,95;7;13728077;16/02/2024
507359434;137,56;137,56;16,51;5;13728077;16/02/2024
507359109;214,53;214,53;25,74;7;13728077;16/02/2024
507359072;276,89;276,89;33,23;8;13728077;16/02/2024
507358914;174,48;174,48;20,94;8;13728077;16/02/2024
507358794;137,53;137,53;16,5;7;13728077;16/02/2024
507358489;113,84;113,84;13,66;6;13728077;16/02/2024
507358392;641,85;641,85;77,02;6;13728077;16/02/2024
507358267;149,23;149,23;17,91;4;13728077;16/02/2024
507358196;97,50;97,5;11,7;8;13728077;16/02/2024
507358073;112,41;112,41;6,74;6;13728076;16/02/2024
507358012;125,86;125,86;15,1;6;13728077;16/02/2024
507357940;1019,00;1019,0;122,28;9;13728077;16/02/2024
507357932;106,19;106,19;12,74;6;13728077;16/02/2024
507357889;360,80;360,8;43,3;8;13728077;16/02/2024
507357829;163,08;163,08;19,57;8;13728077;16/02/2024
507357662;611,90;611,9;36,71;10;13728076;16/02/2024
507357606;132,33;132,33;15,88;7;13728077;16/02/2024
507357598;511,65;511,65;61,4;8;13728077;16/02/2024
507357554;384,80;384,8;46,18;10;13728077;16/02/2024
507357487;1926,89;1926,89;231,23;9;13728077;16/02/2024
507357479;163,15;163,15;19,58;8;13728077;16/02/2024
507357452;131,95;131,95;15,83;7;13728077;16/02/2024
507357344;193,70;193,7;23,24;6;13728077;16/02/2024
507357341;207,69;207,69;24,92;5;13728077;16/02/2024
507357268;457,48;457,48;54,9;7;13728077;16/02/2024
507357259;131,77;131,77;15,81;7;13728077;16/02/2024
507357242;178,04;178,04;21,36;7;13728077;16/02/2024
507357210;122,02;122,02;14,64;7;13728077;16/02/2024
507357180;123,60;123,6;14,83;7;13728077;16/02/2024
507356965;371,50;371,5;44,58;8;13728077;16/02/2024
507356889;129,32;129,32;15,52;4;13728077;16/02/2024
507356741;1048,91;1048,91;125,87;10;13728077;16/02/2024
507356663;121,97;121,97;14,64;6;13728077;16/02/2024
507356608;239,35;239,35;28,72;7;13728077;16/02/2024
507356518;135,61;135,61;16,27;7;13728077;16/02/2024
507356456;104,42;104,42;12,53;7;13728077;16/02/2024
507356325;124,54;124,54;14,94;6;13728077;16/02/2024
507356108;253,94;253,94;30,47;8;13728077;16/02/2024
507355861;168,24;168,24;20,19;6;13728077;16/02/2024
507355754;573,78;573,78;68,85;9;13728077;16/02/2024
507355579;398,86;398,86;47,86;7;13728077;16/02/2024
507355424;117,06;117,06;14,05;10;13728077;16/02/2024
507355333;149,49;149,49;17,94;8;13728077;16/02/2024
507355285;306,07;306,07;36,73;10;13728077;16/02/2024
507355069;102,74;102,74;12,33;5;13728077;16/02/2024
507355039;1556,87;1556,87;186,82;2;13728077;16/02/2024
507354933;157,63;157,63;18,92;8;13728077;16/02/2024
507354861;117,56;117,56;14,11;9;13728077;16/02/2024
507354780;140,27;140,27;16,83;10;13728077;16/02/2024
507354699;964,83;964,83;115,78;10;13728077;16/02/2024
507354331;119,58;119,58;14,35;6;13728077;16/02/2024
507354293;110,80;110,8;13,3;7;13728077;16/02/2024
507354258;126,14;126,14;15,14;8;13728077;16/02/2024
507353836;112,70;112,7;13,52;8;13728077;16/02/2024
507353664;3524,86;3524,86;422,98;1;13728077;16/02/2024
507353543;273,87;273,87;32,86;10;13728077;16/02/2024
507353370;109,30;109,3;13,12;7;13728077;16/02/2024
507353241;257,46;257,46;30,9;7;13728077;16/02/2024
507353227;154,84;154,84;18,58;6;13728077;16/02/2024
507353166;175,94;175,94;21,11;7;13728077;16/02/2024
507353139;97,54;97,54;11,7;5;13728077;16/02/2024
507353131;289,17;289,17;34,7;10;13728077;16/02/2024
507353089;125,74;125,74;15,09;6;13728077;16/02/2024
507352979;223,72;223,72;26,85;9;13728077;16/02/2024
507352841;117,12;117,12;14,05;6;13728077;16/02/2024
507352760;150,61;150,61;18,07;6;13728077;16/02/2024
507352740;230,64;230,64;27,68;9;13728077;16/02/2024
507352708;108,16;108,16;12,98;6;13728077;16/02/2024
507352692;139,88;139,88;16,79;8;13728077;16/02/2024
507352422;126,69;126,69;15,2;10;13728077;16/02/2024
