#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507370986;1162,32;1162,32;139,48;9;13728077;20/02/2024
507370864;161,76;161,76;19,41;5;13728077;20/02/2024
507370640;2083,71;2083,71;250,05;2;13728077;20/02/2024
507370628;141,91;141,91;17,03;7;13728077;20/02/2024
507370535;127,98;127,98;15,36;6;13728077;20/02/2024
507370498;115,73;115,73;13,89;6;13728077;20/02/2024
507370311;123,03;123,03;14,76;5;13728077;20/02/2024
507370217;107,85;107,85;12,94;5;13728077;20/02/2024
507369717;122,90;122,9;14,75;6;13728077;20/02/2024
507369666;107,04;107,04;12,84;5;13728077;20/02/2024
507369652;386,16;386,16;46,34;7;13728077;20/02/2024
507369608;307,36;307,36;36,88;10;13728077;20/02/2024
507369278;933,09;933,09;111,97;10;13728077;20/02/2024
507369270;212,48;212,48;25,5;6;13728077;20/02/2024
507368225;517,44;517,44;62,09;10;13728077;20/02/2024
507367935;115,15;115,15;13,82;5;13728077;20/02/2024
507367825;362,11;362,11;43,45;9;13728077;20/02/2024
507367482;141,30;141,3;16,96;9;13728077;20/02/2024
507367409;146,17;146,17;17,54;5;13728077;20/02/2024
507366917;107,51;107,51;12,9;6;13728077;20/02/2024
