#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507376967;164,87;164,87;19,78;8;13728077;21/02/2024
507376610;101,20;101,2;12,14;10;13728077;21/02/2024
507376541;141,04;141,04;16,92;6;13728077;21/02/2024
507376533;1834,81;1834,81;220,18;10;13728077;21/02/2024
507376518;228,56;228,56;27,43;6;13728077;21/02/2024
507376473;706,55;706,55;84,79;10;13728077;21/02/2024
507376307;122,78;122,78;14,73;7;13728077;21/02/2024
507376247;135,57;135,57;16,27;6;13728077;21/02/2024
507376147;109,54;109,54;13,14;6;13728077;21/02/2024
507376053;119,85;119,85;14,38;7;13728077;21/02/2024
507376045;398,45;398,45;47,81;8;13728077;21/02/2024
507375707;103,92;103,92;12,47;4;13728077;21/02/2024
507375542;342,83;342,83;41,14;8;13728077;21/02/2024
507375126;145,06;145,06;17,41;10;13728077;21/02/2024
507375112;433,31;433,31;52,0;10;13728077;21/02/2024
507375084;193,88;193,88;23,27;8;13728077;21/02/2024
507375008;1394,58;1394,58;167,35;8;13728077;21/02/2024
507374758;139,53;139,53;16,74;8;13728077;21/02/2024
507374483;2067,87;2067,87;248,14;10;13728077;21/02/2024
507374480;124,15;124,15;14,9;6;13728077;21/02/2024
507374118;141,45;141,45;16,97;8;13728077;21/02/2024
507374100;154,06;154,06;18,49;8;13728077;21/02/2024
507374005;850,64;850,64;102,08;8;13728077;21/02/2024
507373998;1458,31;1458,31;175,0;9;13728077;21/02/2024
507373970;152,38;152,38;18,29;9;13728077;21/02/2024
507373693;169,99;169,99;20,4;10;13728077;21/02/2024
507373374;263,87;263,87;31,66;7;13728077;21/02/2024
507373251;192,47;192,47;23,1;6;13728077;21/02/2024
507372449;103,93;103,93;12,47;5;13728077;21/02/2024
