#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507392338;127,97;127,97;21,12;5;13728077;26/02/2024
507391642;276,67;276,67;16,6;7;13728076;26/02/2024
507391505;516,20;516,2;85,17;8;13728077;26/02/2024
507390914;332,54;332,54;54,87;8;13728077;26/02/2024
507390890;106,59;106,59;17,59;7;13728077;26/02/2024
507390725;411,50;411,5;67,9;10;13728077;26/02/2024
507390580;229,17;229,17;37,81;9;13728077;26/02/2024
507390493;101,08;101,08;16,68;9;13728077;26/02/2024
507390476;229,44;229,44;37,86;8;13728077;26/02/2024
507389979;151,54;151,54;25,0;10;13728077;26/02/2024
507389974;133,99;133,99;22,11;5;13728077;26/02/2024
507389902;98,70;98,7;16,29;4;13728077;26/02/2024
507389511;106,58;106,58;17,59;5;13728077;26/02/2024
507389506;129,21;129,21;21,32;6;13728077;26/02/2024
507389499;160,28;160,28;26,45;6;13728077;26/02/2024
507389277;109,07;109,07;18,0;7;13728077;26/02/2024
507389145;269,11;269,11;44,4;7;13728077;26/02/2024
507389115;154,42;154,42;25,48;5;13728077;26/02/2024
507389006;2543,68;2543,68;419,71;3;13728077;26/02/2024
507388983;641,28;641,28;105,81;10;13728077;26/02/2024
507388752;98,70;98,7;16,29;5;13728077;26/02/2024
507388731;154,61;154,61;25,51;7;13728077;26/02/2024
507388626;108,46;108,46;17,9;6;13728077;26/02/2024
507388493;1052,01;1052,01;173,58;8;13728077;26/02/2024
507388326;152,06;152,06;25,09;7;13728077;26/02/2024
