#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507403801;124,75;124,75;20,58;6;13728077;29/02/2024
507403784;108,35;108,35;17,88;6;13728077;29/02/2024
507403624;305,04;305,04;50,33;6;13728077;29/02/2024
507403364;437,89;437,89;72,25;8;13728077;29/02/2024
507402397;1773,56;1773,56;292,64;9;13728077;29/02/2024
507402246;409,66;409,66;67,59;8;13728077;29/02/2024
507402078;193,84;193,84;31,98;6;13728077;29/02/2024
507401970;232,20;232,2;38,31;10;13728077;29/02/2024
507401780;98,04;98,04;16,18;6;13728077;29/02/2024
507401518;832,75;832,75;137,4;10;13728077;29/02/2024
507400963;117,63;117,63;19,41;8;13728077;29/02/2024
507400959;102,83;102,83;16,97;8;13728077;29/02/2024
507400952;319,92;319,92;52,79;9;13728077;29/02/2024
507400822;210,88;210,88;34,8;6;13728077;29/02/2024
