#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507386299;4446,01;4446,01;533,52;10;13728077;23/02/2024
507386047;570,29;570,29;68,43;9;13728077;23/02/2024
507386033;822,04;822,04;98,64;10;13728077;23/02/2024
507385238;937,65;937,65;112,52;1;13728077;23/02/2024
507384969;302,91;302,91;36,35;8;13728077;23/02/2024
507384903;114,21;114,21;13,71;10;13728077;23/02/2024
507384883;179,29;179,29;21,51;7;13728077;23/02/2024
507384751;384,05;384,05;46,09;8;13728077;23/02/2024
507384169;120,38;120,38;14,45;6;13728077;23/02/2024
507383970;139,05;139,05;16,69;10;13728077;23/02/2024
507383831;114,68;114,68;13,76;6;13728077;23/02/2024
507383821;290,59;290,59;34,87;6;13728077;23/02/2024
507383671;111,77;111,77;6,71;6;13728076;23/02/2024
507383564;620,05;620,05;74,41;10;13728077;23/02/2024
507383502;1615,86;1615,86;193,9;10;13728077;23/02/2024
507383221;125,16;125,16;15,02;6;13728077;23/02/2024
507382929;217,49;217,49;26,1;7;13728077;23/02/2024
507382788;116,46;116,46;13,98;6;13728077;23/02/2024
507382655;468,54;468,54;56,22;10;13728077;23/02/2024
507382595;135,09;135,09;16,21;6;13728077;23/02/2024
507382523;125,27;125,27;15,03;6;13728077;23/02/2024
507382196;143,34;143,34;17,2;8;13728077;23/02/2024
