#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507341638;348,68;348,68;41,84;7;13728077;15/02/2024
507341163;1072,86;1072,86;128,74;10;13728077;14/02/2024
507340972;106,32;106,32;12,76;6;13728077;14/02/2024
507340926;181,84;181,84;21,82;8;13728077;14/02/2024
507340842;123,86;123,86;14,86;6;13728077;14/02/2024
507340813;145,80;145,8;17,5;7;13728077;14/02/2024
507340800;315,43;315,43;37,85;10;13728077;14/02/2024
507340682;109,04;109,04;13,08;6;13728077;14/02/2024
507340329;129,28;129,28;15,51;6;13728077;14/02/2024
507339991;190,90;190,9;22,91;6;13728077;14/02/2024
507339831;135,99;135,99;16,32;8;13728077;14/02/2024
507339366;125,66;125,66;15,08;3;13728077;14/02/2024
507339269;154,75;154,75;18,57;9;13728077;14/02/2024
507339092;126,55;126,55;15,19;5;13728077;14/02/2024
507338900;109,18;109,18;13,1;5;13728077;14/02/2024
507338865;639,06;639,06;76,69;9;13728077;14/02/2024
507338320;103,44;103,44;12,41;7;13728077;14/02/2024
507337638;159,32;159,32;19,12;8;13728077;14/02/2024
507337439;678,38;678,38;81,41;10;13728077;14/02/2024
507337213;199,91;199,91;23,99;8;13728077;14/02/2024
507337186;282,48;282,48;33,9;8;13728077;14/02/2024
507337029;112,59;112,59;13,51;5;13728077;14/02/2024
507336908;120,00;120,0;14,4;9;13728077;14/02/2024
507336534;254,62;254,62;30,55;9;13728077;14/02/2024
507336448;167,40;167,4;20,09;8;13728077;14/02/2024
507336353;128,46;128,46;15,42;5;13728077;14/02/2024
507336299;110,44;110,44;13,25;6;13728077;14/02/2024
507336219;125,77;125,77;15,09;7;13728077;14/02/2024
507336216;1243,82;1243,82;149,26;10;13728077;14/02/2024
507336148;143,99;143,99;17,28;6;13728077;14/02/2024
507336118;135,68;135,68;16,28;10;13728077;14/02/2024
507336117;1119,89;1119,89;134,39;10;13728077;14/02/2024
507336032;207,84;207,84;24,94;8;13728077;14/02/2024
507335976;115,23;115,23;13,83;6;13728077;14/02/2024
507335807;102,93;102,93;12,35;10;13728077;14/02/2024
507335709;342,67;342,67;41,12;10;13728077;14/02/2024
507335694;929,26;929,26;111,51;10;13728077;14/02/2024
507335627;97,99;97,99;11,76;6;13728077;14/02/2024
507335589;102,13;102,13;12,26;9;13728077;14/02/2024
507335482;135,78;135,78;16,29;6;13728077;14/02/2024
507335438;116,21;116,21;13,95;8;13728077;14/02/2024
507335110;739,49;739,49;88,74;8;13728077;14/02/2024
507335039;142,59;142,59;17,11;6;13728077;14/02/2024
507335030;100,47;100,47;12,06;10;13728077;14/02/2024
507334851;210,77;210,77;25,29;8;13728077;14/02/2024
507334840;174,63;174,63;20,96;8;13728077;14/02/2024
507334821;284,01;284,01;34,08;8;13728077;14/02/2024
507334534;127,08;127,08;15,25;9;13728077;14/02/2024
507334512;131,15;131,15;15,74;8;13728077;14/02/2024
507334485;144,76;144,76;17,37;6;13728077;14/02/2024
507334320;170,74;170,74;20,49;9;13728077;14/02/2024
507334283;136,71;136,71;16,41;6;13728077;14/02/2024
507334218;104,93;104,93;12,59;7;13728077;14/02/2024
507334052;172,10;172,1;20,65;8;13728077;14/02/2024
507333849;98,26;98,26;5,9;5;13728076;14/02/2024
507333766;102,23;102,23;12,27;5;13728077;14/02/2024
507333730;154,82;154,82;18,58;6;13728077;14/02/2024
507333702;124,60;124,6;14,95;10;13728077;14/02/2024
507333647;109,71;109,71;13,17;4;13728077;14/02/2024
507333639;305,19;305,19;36,62;7;13728077;14/02/2024
507333624;110,33;110,33;13,24;6;13728077;14/02/2024
507333597;617,12;617,12;74,05;10;13728077;14/02/2024
507333479;103,58;103,58;12,43;8;13728077;14/02/2024
507333396;140,60;140,6;16,87;8;13728077;14/02/2024
507333322;127,32;127,32;15,28;7;13728077;14/02/2024
507333224;116,45;116,45;13,97;7;13728077;14/02/2024
507333109;132,96;132,96;15,96;6;13728077;14/02/2024
507333089;156,12;156,12;18,73;8;13728077;14/02/2024
507333065;232,89;232,89;27,95;5;13728077;14/02/2024
507333047;170,93;170,93;20,51;8;13728077;14/02/2024
507332967;218,43;218,43;26,21;7;13728077;14/02/2024
