#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507445785;440,80;440,8;72,73;8;13728077;11/03/2024
507445554;223,29;223,29;13,4;7;13728076;11/03/2024
507445357;401,75;401,75;66,29;6;13728077;11/03/2024
507445294;97,54;97,54;16,09;6;13728077;11/03/2024
507445279;148,72;148,72;24,54;6;13728077;11/03/2024
507444977;196,06;196,06;32,35;7;13728077;11/03/2024
507444878;159,01;159,01;9,54;10;13728076;11/03/2024
507444866;134,51;134,51;22,19;8;13728077;11/03/2024
507444256;422,97;422,97;69,79;10;13728077;11/03/2024
507444071;619,55;619,55;102,23;6;13728077;11/03/2024
507444060;447,47;447,47;73,83;9;13728077;11/03/2024
507443787;157,81;157,81;9,47;5;13728076;11/03/2024
507443748;119,89;119,89;19,78;6;13728077;11/03/2024
507443482;645,73;645,73;106,55;10;13728077;11/03/2024
507442799;143,98;143,98;23,76;9;13728077;11/03/2024
507442315;142,75;142,75;23,55;6;13728077;11/03/2024
507442153;124,39;124,39;20,52;6;13728077;11/03/2024
507441870;165,76;165,76;27,35;5;13728077;11/03/2024
507441842;142,35;142,35;23,49;7;13728077;11/03/2024
507441763;301,73;301,73;49,79;6;13728077;11/03/2024
507441733;11343,90;11343,9;1871,74;6;13728077;11/03/2024
507441701;484,35;484,35;79,92;7;13728077;11/03/2024
507441551;155,99;155,99;25,74;9;13728077;11/03/2024
507441484;121,21;121,21;7,27;5;13728076;11/03/2024
507441397;117,89;117,89;19,45;10;13728077;11/03/2024
507441313;522,54;522,54;86,22;10;13728077;11/03/2024
507441179;157,42;157,42;25,97;7;13728077;11/03/2024
507440995;116,82;116,82;19,28;6;13728077;11/03/2024
507440877;127,62;127,62;21,06;7;13728077;11/03/2024
507440797;113,68;113,68;18,76;7;13728077;11/03/2024
507440740;403,21;403,21;66,53;8;13728077;11/03/2024
507440660;100,84;100,84;16,64;6;13728077;11/03/2024
507440616;127,90;127,9;21,1;7;13728077;11/03/2024
507440285;104,81;104,81;17,29;5;13728077;11/03/2024
507440231;309,15;309,15;51,01;8;13728077;11/03/2024
507440118;126,99;126,99;20,95;10;13728077;11/03/2024
507439875;114,18;114,18;18,84;5;13728077;11/03/2024
507439638;111,45;111,45;18,39;7;13728077;11/03/2024
507439635;142,49;142,49;23,51;7;13728077;11/03/2024
507439356;340,49;340,49;56,18;10;13728077;11/03/2024
507439275;116,52;116,52;19,23;5;13728077;11/03/2024
507439213;102,60;102,6;16,93;5;13728077;11/03/2024
507439188;310,30;310,3;51,2;9;13728077;11/03/2024
507439172;139,56;139,56;23,03;9;13728077;11/03/2024
507439150;157,14;157,14;25,93;7;13728077;11/03/2024
507439033;150,47;150,47;24,83;7;13728077;11/03/2024
507438877;131,78;131,78;21,74;7;13728077;11/03/2024
507438830;158,05;158,05;26,08;8;13728077;11/03/2024
507438695;118,83;118,83;19,61;4;13728077;11/03/2024
507438641;574,28;574,28;94,76;6;13728077;11/03/2024
507438563;104,06;104,06;17,17;7;13728077;11/03/2024
507438473;620,20;620,2;102,33;10;13728077;11/03/2024
507438454;932,61;932,61;153,88;10;13728077;11/03/2024
507438208;941,87;941,87;155,41;9;13728077;11/03/2024
507438099;103,65;103,65;17,1;6;13728077;11/03/2024
507438088;184,21;184,21;30,39;9;13728077;11/03/2024
507438028;151,54;151,54;25,0;6;13728077;11/03/2024
507437954;128,90;128,9;21,27;6;13728077;11/03/2024
507437923;224,94;224,94;37,12;7;13728077;11/03/2024
507437696;107,18;107,18;17,68;5;13728077;11/03/2024
507437590;391,79;391,79;64,65;10;13728077;11/03/2024
507437290;127,67;127,67;21,07;6;13728077;11/03/2024
507437083;112,29;112,29;18,53;6;13728077;11/03/2024
507436831;801,50;801,5;132,25;9;13728077;11/03/2024
507436803;116,45;116,45;19,21;6;13728077;11/03/2024
