#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507539657;121,53;121,53;20,05;7;13728077;27/03/2024
507538984;969,75;969,75;160,01;10;13728077;27/03/2024
507538871;132,99;132,99;21,94;9;13728077;27/03/2024
507538841;1360,60;1360,6;224,5;8;13728077;27/03/2024
507538708;115,51;115,51;19,06;4;13728077;27/03/2024
507538640;222,88;222,88;36,78;5;13728077;27/03/2024
507538445;144,92;144,92;23,91;5;13728077;27/03/2024
507538307;562,62;562,62;33,76;84;13728071;27/03/2024
507538159;144,08;144,08;23,77;5;13728077;27/03/2024
507537193;156,04;156,04;25,75;7;13728077;27/03/2024
507536945;353,59;353,59;21,22;10;13728076;27/03/2024
507536312;353,11;353,11;58,26;10;13728077;27/03/2024
507536127;221,11;221,11;36,48;9;13728077;27/03/2024
507535936;129,01;129,01;21,29;7;13728077;27/03/2024
