#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507514375;210,29;210,29;34,7;6;13728077;20/03/2024
507514076;609,01;609,01;100,49;9;13728077;20/03/2024
507513829;310,14;310,14;51,17;10;13728077;20/03/2024
507513411;207,13;207,13;34,18;10;13728077;20/03/2024
507513104;3390,23;3390,23;559,39;1;13728077;20/03/2024
507513004;1797,26;1797,26;296,55;5;13728077;20/03/2024
507512987;356,53;356,53;21,39;10;13728076;20/03/2024
507512873;112,17;112,17;18,51;6;13728077;20/03/2024
507511975;202,49;202,49;12,15;10;13728076;20/03/2024
507511147;123,50;123,5;20,38;6;13728077;20/03/2024
507511129;144,83;144,83;23,9;5;13728077;20/03/2024
507511070;180,88;180,88;29,85;10;13728077;20/03/2024
507510884;194,91;194,91;32,16;10;13728077;20/03/2024
507510859;166,37;166,37;27,45;5;13728077;20/03/2024
507510807;149,60;149,6;24,68;9;13728077;20/03/2024
507509887;797,19;797,19;131,54;7;13728077;20/03/2024
507509387;193,67;193,67;31,96;7;13728077;20/03/2024
507509301;150,07;150,07;24,76;8;13728077;20/03/2024
507509296;169,19;169,19;10,15;6;13728076;20/03/2024
507509253;141,02;141,02;23,27;10;13728077;20/03/2024
507509084;143,37;143,37;23,66;6;13728077;20/03/2024
507508914;997,24;997,24;164,54;7;13728077;20/03/2024
507508845;229,85;229,85;37,93;10;13728077;20/03/2024
507508739;278,82;278,82;46,01;7;13728077;20/03/2024
