#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507425736;3084,39;3084,39;508,92;3;13728077;07/03/2024
507425727;7162,82;7162,82;1181,87;2;13728077;07/03/2024
507424884;130,03;130,03;21,45;5;13728077;07/03/2024
507424883;158,56;158,56;26,16;5;13728077;07/03/2024
507424646;332,55;332,55;54,87;7;13728077;07/03/2024
507424621;2354,61;2354,61;388,51;10;13728077;07/03/2024
507424245;3293,29;3293,29;543,39;10;13728077;07/03/2024
507424186;388,50;388,5;64,1;10;13728077;07/03/2024
507424145;372,32;372,32;61,43;7;13728077;07/03/2024
507423552;171,78;171,78;28,34;10;13728077;07/03/2024
507423030;599,71;599,71;98,95;10;13728077;07/03/2024
507422979;124,66;124,66;20,57;7;13728077;07/03/2024
507422797;116,81;116,81;19,27;4;13728077;07/03/2024
507422686;377,94;377,94;62,36;10;13728077;07/03/2024
507422666;134,69;134,69;8,08;7;13728076;07/03/2024
507422366;245,50;245,5;40,51;7;13728077;07/03/2024
