#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507568871;126,49;126,49;20,87;6;13728077;05/04/2024
507568772;564,64;564,64;93,17;9;13728077;05/04/2024
507568554;117,03;117,03;19,31;7;13728077;05/04/2024
507568468;394,22;394,22;65,05;10;13728077;05/04/2024
507568445;100,39;100,39;16,56;6;13728077;05/04/2024
507567952;125,41;125,41;20,69;6;13728077;05/04/2024
507567690;114,94;114,94;18,97;7;13728077;05/04/2024
507567394;454,79;454,79;75,04;10;13728077;05/04/2024
507567195;148,79;148,79;24,55;5;13728077;05/04/2024
507567189;802,25;802,25;132,37;10;13728077;05/04/2024
507567097;114,94;114,94;18,97;6;13728077;05/04/2024
507565521;964,72;964,72;159,18;1;13728077;05/04/2024
507565498;112,97;112,97;18,64;7;13728077;05/04/2024
