#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507579241;1132,67;1132,67;186,89;10;13728077;09/04/2024
507578598;214,49;214,49;35,39;10;13728077;09/04/2024
507578576;566,84;566,84;93,53;9;13728077;09/04/2024
507578540;1414,63;1414,63;233,41;5;13728077;09/04/2024
507578231;137,04;137,04;22,61;10;13728077;09/04/2024
507578085;648,89;648,89;107,07;7;13728077;09/04/2024
507577483;118,11;118,11;19,49;10;13728077;09/04/2024
507577131;187,39;187,39;30,92;10;13728077;09/04/2024
507576745;226,42;226,42;37,36;7;13728077;09/04/2024
507576474;123,09;123,09;20,31;6;13728077;09/04/2024
507576473;2199,10;2199,1;362,85;9;13728077;09/04/2024
507576338;129,64;129,64;21,39;7;13728077;09/04/2024
507576238;239,89;239,89;39,58;6;13728077;09/04/2024
507575954;123,00;123,0;20,3;8;13728077;09/04/2024
507575654;154,77;154,77;25,54;6;13728077;09/04/2024
507575578;290,54;290,54;47,94;8;13728077;09/04/2024
507575431;1144,64;1144,64;188,87;3;13728077;09/04/2024
507575163;189,26;189,26;31,23;8;13728077;09/04/2024
507575062;244,51;244,51;40,34;10;13728077;09/04/2024
507575005;112,50;112,5;18,56;6;13728077;09/04/2024
507574973;1686,12;1686,12;278,21;9;13728077;09/04/2024
507574940;182,30;182,3;30,08;8;13728077;09/04/2024
507574933;120,84;120,84;19,94;6;13728077;09/04/2024
507574932;182,04;182,04;30,04;7;13728077;09/04/2024
507574872;97,84;97,84;16,14;4;13728077;09/04/2024
507574855;200,15;200,15;33,02;10;13728077;09/04/2024
