#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507555747;114,63;114,63;18,91;10;13728077;02/04/2024
507555525;136,40;136,4;22,51;4;13728077;02/04/2024
507554684;6528,29;6528,29;1077,17;10;13728077;02/04/2024
507553666;163,10;163,1;26,91;7;13728077;02/04/2024
507553030;104,94;104,94;6,3;8;13728076;02/04/2024
507552721;131,30;131,3;21,66;8;13728077;02/04/2024
507551701;114,94;114,94;18,97;5;13728077;02/04/2024
507551563;126,60;126,6;20,89;8;13728077;02/04/2024
507550850;125,52;125,52;20,71;10;13728077;02/04/2024
507550736;124,61;124,61;20,56;5;13728077;02/04/2024
507550702;687,59;687,59;113,45;9;13728077;02/04/2024
507550587;327,53;327,53;54,04;8;13728077;02/04/2024
507550490;107,09;107,09;17,67;10;13728077;02/04/2024
507550229;218,17;218,17;36,0;8;13728077;02/04/2024
507550098;139,08;139,08;22,95;7;13728077;02/04/2024
507549403;108,10;108,1;17,84;4;13728077;02/04/2024
