#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507657724;148,18;148,18;24,45;5;13728077;23/04/2024
507657715;132,24;132,24;21,82;6;13728077;23/04/2024
507657486;215,23;215,23;12,91;10;13728076;23/04/2024
507657388;104,72;104,72;17,28;6;13728077;23/04/2024
507657127;2286,27;2286,27;137,18;10;13728076;23/04/2024
507657102;119,16;119,16;19,66;8;13728077;23/04/2024
507656722;156,62;156,62;25,84;7;13728077;23/04/2024
507656616;113,52;113,52;18,73;5;13728077;23/04/2024
507656599;163,65;163,65;27,0;6;13728077;23/04/2024
507655817;191,01;191,01;31,52;7;13728077;23/04/2024
507655753;143,43;143,43;23,67;7;13728077;23/04/2024
507655520;190,07;190,07;31,36;10;13728077;23/04/2024
507655465;138,51;138,51;22,85;5;13728077;23/04/2024
507655385;123,42;123,42;20,36;8;13728077;23/04/2024
507655257;143,45;143,45;23,67;7;13728077;23/04/2024
507654649;139,65;139,65;23,04;7;13728077;23/04/2024
507654064;276,66;276,66;45,65;9;13728077;23/04/2024
507653737;142,40;142,4;23,5;8;13728077;23/04/2024
507653670;170,47;170,47;28,13;8;13728077;23/04/2024
507653386;98,81;98,81;16,3;7;13728077;23/04/2024
507653120;114,61;114,61;18,91;6;13728077;23/04/2024
507653028;112,67;112,67;18,59;6;13728077;23/04/2024
507652922;506,51;506,51;83,57;9;13728077;23/04/2024
507652826;157,46;157,46;25,98;8;13728077;23/04/2024
507652669;4038,85;4038,85;666,41;6;13728077;23/04/2024
507652613;118,98;118,98;7,14;6;13728076;23/04/2024
507652136;122,20;122,2;20,16;7;13728077;23/04/2024
507652130;146,45;146,45;24,16;6;13728077;23/04/2024
507652059;146,39;146,39;24,15;10;13728077;23/04/2024
507651786;161,06;161,06;26,57;8;13728077;23/04/2024
507651477;100,14;100,14;16,52;6;13728077;23/04/2024
507651099;640,66;640,66;105,71;10;13728077;23/04/2024
507650885;416,69;416,69;68,75;4;13728077;23/04/2024
507650773;129,73;129,73;21,41;6;13728077;23/04/2024
507650622;110,43;110,43;18,22;6;13728077;23/04/2024
507650310;123,76;123,76;20,42;6;13728077;23/04/2024
507650247;135,77;135,77;22,4;5;13728077;23/04/2024
507650125;125,82;125,82;20,76;6;13728077;23/04/2024
507650102;153,09;153,09;25,26;10;13728077;23/04/2024
507649911;123,46;123,46;20,37;7;13728077;23/04/2024
507649898;97,95;97,95;16,16;5;13728077;23/04/2024
507649818;157,44;157,44;25,98;7;13728077;23/04/2024
507649816;105,05;105,05;17,33;6;13728077;23/04/2024
507649754;183,76;183,76;30,32;8;13728077;23/04/2024
507649687;131,37;131,37;21,68;8;13728077;23/04/2024
507649582;182,18;182,18;30,06;6;13728077;23/04/2024
507649378;200,39;200,39;33,06;9;13728077;23/04/2024
507649341;121,76;121,76;20,09;8;13728077;23/04/2024
507649323;144,22;144,22;23,8;8;13728077;23/04/2024
507649066;127,95;127,95;21,11;7;13728077;23/04/2024
507648914;132,89;132,89;21,93;8;13728077;23/04/2024
507648873;113,28;113,28;6,8;6;13728076;23/04/2024
507648586;3169,74;3169,74;523,01;10;13728077;23/04/2024
507647951;113,61;113,61;18,75;6;13728077;23/04/2024
507647833;98,15;98,15;16,19;4;13728077;23/04/2024
507647797;324,76;324,76;53,59;9;13728077;23/04/2024
507647729;159,96;159,96;26,39;7;13728077;23/04/2024
507647036;150,24;150,24;24,79;7;13728077;23/04/2024
507646862;138,82;138,82;22,91;8;13728077;23/04/2024
507646744;110,03;110,03;18,15;4;13728077;23/04/2024
507646635;892,78;892,78;147,31;10;13728077;23/04/2024
507646596;125,36;125,36;20,68;7;13728077;23/04/2024
507646480;145,34;145,34;23,98;10;13728077;23/04/2024
507646427;134,19;134,19;22,14;6;13728077;23/04/2024
507646161;165,28;165,28;27,27;9;13728077;23/04/2024
507646094;149,79;149,79;24,72;10;13728077;23/04/2024
507645815;132,27;132,27;21,82;10;13728077;23/04/2024
507645811;1731,89;1731,89;285,76;7;13728077;23/04/2024
507645392;117,59;117,59;19,4;7;13728077;23/04/2024
507645379;2929,26;2929,26;483,33;10;13728077;23/04/2024
507645358;1122,61;1122,61;185,23;10;13728077;23/04/2024
507645335;2342,35;2342,35;386,49;9;13728077;23/04/2024
507645308;157,11;157,11;25,92;8;13728077;23/04/2024
507644959;156,95;156,95;25,9;4;13728077;23/04/2024
507644496;168,19;168,19;27,75;7;13728077;23/04/2024
507644320;279,45;279,45;46,11;10;13728077;23/04/2024
507644189;107,25;107,25;17,7;10;13728077;23/04/2024
507644147;462,59;462,59;27,76;10;13728076;23/04/2024
507643636;98,98;98,98;16,33;7;13728077;23/04/2024
507643359;102,08;102,08;16,84;7;13728077;23/04/2024
