#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507681144;171,68;171,68;28,33;8;13728077;25/04/2024
507681097;205,22;205,22;33,86;9;13728077;25/04/2024
507680801;139,04;139,04;22,94;7;13728077;25/04/2024
507680288;387,30;387,3;63,9;8;13728077;25/04/2024
507680149;139,56;139,56;23,03;9;13728077;25/04/2024
507679500;265,57;265,57;43,82;8;13728077;25/04/2024
507679332;111,58;111,58;18,41;5;13728077;25/04/2024
507679196;225,70;225,7;37,24;6;13728077;25/04/2024
507678911;637,30;637,3;105,15;6;13728077;25/04/2024
507678857;2502,40;2502,4;412,9;10;13728077;25/04/2024
507678854;142,52;142,52;23,52;8;13728077;25/04/2024
507678808;134,08;134,08;22,12;5;13728077;25/04/2024
507678638;107,34;107,34;17,71;6;13728077;25/04/2024
507677990;143,76;143,76;23,72;6;13728077;25/04/2024
507677906;215,05;215,05;12,9;7;13728076;25/04/2024
507677791;110,14;110,14;18,17;5;13728077;25/04/2024
507677704;151,48;151,48;24,99;9;13728077;25/04/2024
507677634;101,99;101,99;16,83;7;13728077;25/04/2024
507677607;98,37;98,37;16,23;6;13728077;25/04/2024
507677122;317,27;317,27;52,35;9;13728077;25/04/2024
507676942;219,15;219,15;36,16;7;13728077;25/04/2024
507676540;239,92;239,92;39,59;9;13728077;25/04/2024
507675419;135,94;135,94;22,43;9;13728077;25/04/2024
507675263;1065,02;1065,02;175,73;7;13728077;25/04/2024
507675123;599,90;599,9;98,98;9;13728077;25/04/2024
507674891;175,78;175,78;29,0;10;13728077;25/04/2024
507674708;321,51;321,51;53,05;10;13728077;25/04/2024
507674488;155,21;155,21;25,61;7;13728077;25/04/2024
507674412;803,70;803,7;132,61;10;13728077;25/04/2024
507673795;106,53;106,53;17,58;7;13728077;25/04/2024
507673533;371,74;371,74;61,34;10;13728077;25/04/2024
507673310;172,63;172,63;28,48;8;13728077;25/04/2024
507673234;217,25;217,25;35,85;10;13728077;25/04/2024
507673150;118,93;118,93;7,14;6;13728076;25/04/2024
507673120;113,42;113,42;18,71;6;13728077;25/04/2024
507672973;98,92;98,92;16,32;6;13728077;25/04/2024
507672923;153,27;153,27;25,29;5;13728077;25/04/2024
507672785;103,55;103,55;17,09;9;13728077;25/04/2024
507672752;131,66;131,66;21,72;9;13728077;25/04/2024
507672204;131,61;131,61;21,72;7;13728077;25/04/2024
