#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507560558;106,70;106,7;17,61;4;13728077;03/04/2024
507558925;249,23;249,23;41,12;10;13728077;03/04/2024
507558353;234,48;234,48;38,69;10;13728077;03/04/2024
507558206;167,62;167,62;27,66;10;13728077;03/04/2024
507558189;239,91;239,91;39,59;10;13728077;03/04/2024
507557976;107,06;107,06;17,66;6;13728077;03/04/2024
507557895;122,73;122,73;20,25;6;13728077;03/04/2024
507557529;688,16;688,16;113,55;8;13728077;03/04/2024
507557359;186,51;186,51;30,77;8;13728077;03/04/2024
507557254;144,42;144,42;23,83;9;13728077;03/04/2024
507556866;126,62;126,62;20,89;5;13728077;03/04/2024
507556835;155,47;155,47;25,65;6;13728077;03/04/2024
507556084;104,12;104,12;17,18;5;13728077;03/04/2024
507555920;925,54;925,54;152,71;9;13728077;03/04/2024
507555854;654,58;654,58;108,01;10;13728077;03/04/2024
