#ADE#;#VALOR_BASE#;#VALOR_BASE_BRUTO#;#VALOR_CMS#;#PRAZO#;#CODIGO_TABELA#;#DATA_DIGITACAO#
507607156;134,47;134,47;22,19;6;13728077;16/04/2024
507606925;139,09;139,09;22,95;8;13728077;16/04/2024
507606770;280,84;280,84;46,34;6;13728077;16/04/2024
507606737;127,67;127,67;21,07;8;13728077;16/04/2024
507606595;286,70;286,7;47,31;8;13728077;16/04/2024
507605279;160,10;160,1;26,42;6;13728077;16/04/2024
507604836;109,07;109,07;18,0;5;13728077;16/04/2024
507604803;208,75;208,75;34,44;5;13728077;16/04/2024
507604572;99,35;99,35;16,39;8;13728077;16/04/2024
507604390;11916,73;11916,73;1966,26;10;13728077;16/04/2024
507603804;200,64;200,64;33,11;10;13728077;16/04/2024
507603278;141,72;141,72;23,38;6;13728077;16/04/2024
507602754;156,93;156,93;25,89;7;13728077;16/04/2024
507602411;112,52;112,52;18,57;6;13728077;16/04/2024
